date,Rate
2019-01-23,41.466
2019-01-24,41.5907
2019-01-25,41.6479
2019-01-26,41.6754
2019-01-27,41.6486
2019-01-28,41.4884
2019-01-29,41.153
2019-01-30,41.0078
2019-01-31,40.9432
2019-02-01,40.9552
2019-02-02,40.9552
2019-02-03,40.9346
2019-02-04,40.8005
2019-02-05,40.4893
2019-02-06,40.4119
2019-02-07,40.4582
2019-02-08,40.7026
2019-02-09,40.7088
2019-02-10,40.7302
2019-02-11,40.4368
2019-02-12,40.3227
2019-02-13,40.3405
2019-02-14,40.0577
2019-02-15,40.3083
2019-02-16,40.2991
2019-02-17,40.34
2019-02-18,40.3435
2019-02-19,40.6689
2019-02-20,40.5718
2019-02-21,40.7151
2019-02-22,40.8846
2019-02-23,40.883
2019-02-24,40.894
2019-02-25,41.037
2019-02-26,41.4992
2019-02-27,41.8913
2019-02-28,41.872
2019-03-01,41.9895
2019-03-02,41.9843
2019-03-03,42.0572
2019-03-04,42.0119
2019-03-05,41.8036
2019-03-06,41.9795
2019-03-07,41.7139
2019-03-08,41.2949
2019-03-09,41.304
2019-03-10,41.1982
2019-03-11,41.9162
2019-03-12,41.3606
2019-03-13,41.9689
2019-03-14,42.091
2019-03-15,42.1021
2019-03-16,42.0728
2019-03-17,42.1272
2019-03-18,41.9875
2019-03-19,42.0312
2019-03-20,41.7863
2019-03-21,41.6968
2019-03-22,41.9325
2019-03-23,41.8122
2019-03-24,41.8923
2019-03-25,41.6592
2019-03-26,41.8066
2019-03-27,41.9406
2019-03-28,41.5949
2019-03-29,41.3591
2019-03-30,41.3704
2019-03-31,41.3353
2019-04-01,41.453
2019-04-02,41.7256
2019-04-03,41.8109
2019-04-04,41.5507
2019-04-05,41.5801
2019-04-06,41.5827
2019-04-07,41.6208
2019-04-08,41.6637
2019-04-09,41.4914
2019-04-10,41.5639
2019-04-11,41.6005
2019-04-12,41.4516
2019-04-13,41.5634
2019-04-14,41.5357
2019-04-15,41.6236
2019-04-16,41.5205
2019-04-17,41.4485
2019-04-18,41.3122
2019-04-19,41.3622
2019-04-20,41.3648
2019-04-21,41.3748
2019-04-22,41.4005
2019-04-23,41.3789
2019-04-24,41.3672
2019-04-25,41.3577
2019-04-26,41.2462
2019-04-27,41.2138
2019-04-28,41.2794
2019-04-29,41.2898
2019-04-30,41.5894
2019-05-01,41.7808
2019-05-02,41.7172
2019-05-03,41.9944
2019-05-04,41.9944
2019-05-05,42.0484
2019-05-06,41.8373
2019-05-07,41.7228
2019-05-08,41.3675
2019-05-09,41.3444
2019-05-10,41.0172
2019-05-11,41.0172
2019-05-12,41.0501
2019-05-13,40.9809
2019-05-14,40.6756
2019-05-15,40.5125
2019-05-16,40.5248
2019-05-17,40.4833
2019-05-18,40.484
2019-05-19,40.5245
2019-05-20,40.5642
2019-05-21,40.5798
2019-05-22,40.4409
2019-05-23,40.4323
2019-05-24,40.4763
2019-05-25,40.4001
2019-05-26,40.4989
2019-05-27,40.3543
2019-05-28,40.3216
2019-05-29,40.1854
2019-05-30,40.0697
2019-05-31,39.7548
2019-06-01,39.7548
2019-06-02,39.8688
2019-06-03,39.6771
2019-06-04,39.7864
2019-06-05,39.8558
2019-06-06,39.7656
2019-06-07,39.7916
2019-06-08,39.7948
2019-06-09,39.7964
2019-06-10,39.7645
2019-06-11,39.7793
2019-06-12,39.6949
2019-06-13,39.5774
2019-06-14,39.2114
2019-06-15,39.2072
2019-06-16,39.2905
2019-06-17,39.3179
2019-06-18,39.2122
2019-06-19,39.568
2019-06-20,39.2229
2019-06-21,39.1365
2019-06-22,39.1365
2019-06-23,39.2727
2019-06-24,39.0681
2019-06-25,39.0283
2019-06-26,39.0246
2019-06-27,39.0076
2019-06-28,38.8874
2019-06-29,38.8874
2019-06-30,38.9636
2019-07-01,38.7677
2019-07-02,38.5074
2019-07-03,38.5306
2019-07-04,38.599
2019-07-05,38.5417
2019-07-06,38.5483
2019-07-07,38.5707
2019-07-08,38.5836
2019-07-09,38.4235
2019-07-10,38.3761
2019-07-11,38.5053
2019-07-12,38.8361
2019-07-13,38.8361
2019-07-14,38.8991
2019-07-15,38.6704
2019-07-16,38.3659
2019-07-17,38.3931
2019-07-18,38.62
2019-07-19,38.4986
2019-07-20,38.5899
2019-07-21,38.568
2019-07-22,38.4828
2019-07-23,38.4342
2019-07-24,38.583
2019-07-25,38.515
2019-07-26,38.2265
2019-07-27,38.2265
2019-07-28,38.2047
2019-07-29,37.7333
2019-07-30,37.4379
2019-07-31,37.3459
2019-08-01,37.4806
2019-08-02,37.2778
2019-08-03,37.2778
2019-08-04,37.3552
2019-08-05,37.4568
2019-08-06,37.3971
2019-08-07,37.4468
2019-08-08,37.3308
2019-08-09,36.6486
2019-08-10,36.645
2019-08-11,37.0378
2019-08-12,37.2472
2019-08-13,37.1488
2019-08-14,37.2027
2019-08-15,37.3178
2019-08-16,37.5526
2019-08-17,37.5526
2019-08-18,37.5927
2019-08-19,37.4251
2019-08-20,37.4491
2019-08-21,37.3347
2019-08-22,37.734
2019-08-23,37.2993
2019-08-24,37.0993
2019-08-25,37.3682
2019-08-26,37.3951
2019-08-27,37.6246
2019-08-28,37.4343
2019-08-29,37.3294
2019-08-30,37.1823
2019-08-31,37.1823
2019-09-01,37.2339
2019-09-02,36.9509
2019-09-03,37.0104
2019-09-04,37.4319
2019-09-05,37.8186
2019-09-06,37.2682
2019-09-07,37.3374
2019-09-08,37.697
2019-09-09,37.8425
2019-09-10,37.834
2019-09-11,37.7078
2019-09-12,37.5972
2019-09-13,37.8658
2019-09-14,37.8689
2019-09-15,38.0897
2019-09-16,37.9386
2019-09-17,38.1762
2019-09-18,38.0833
2019-09-19,38.2266
2019-09-20,38.0216
2019-09-21,38.0216
2019-09-22,38.022
2019-09-23,37.9025
2019-09-24,38.1559
2019-09-25,37.812
2019-09-26,37.7609
2019-09-27,37.6615
2019-09-28,37.6532
2019-09-29,37.6574
2019-09-30,37.6077
2019-10-01,37.6379
2019-10-02,37.6617
2019-10-03,37.6857
2019-10-04,37.5184
2019-10-05,37.5244
2019-10-06,37.5076
2019-10-07,37.4616
2019-10-08,37.1767
2019-10-09,37.042
2019-10-10,37.8397
2019-10-11,38.518
2019-10-12,38.5183
2019-10-13,38.4138
2019-10-14,38.3293
2019-10-15,38.8542
2019-10-16,38.9124
2019-10-17,39.0426
2019-10-18,39.3276
2019-10-19,39.3276
2019-10-20,39.1037
2019-10-21,39.2472
2019-10-22,39.0509
2019-10-23,39.1437
2019-10-24,38.8628
2019-10-25,38.6783
2019-10-26,38.6888
2019-10-27,38.6857
2019-10-28,38.8906
2019-10-29,38.9225
2019-10-30,38.9709
2019-10-31,39.0267
2019-11-01,38.9561
2019-11-02,39.0445
2019-11-03,39.0247
2019-11-04,38.9375
2019-11-05,38.9667
2019-11-06,38.9408
2019-11-07,39.016
2019-11-08,38.7752
2019-11-09,38.7752
2019-11-10,38.8346
2019-11-11,39.0138
2019-11-12,38.9846
2019-11-13,38.8673
2019-11-14,38.9078
2019-11-15,39.0609
2019-11-16,39.0609
2019-11-17,39.094
2019-11-18,39.1026
2019-11-19,39.0357
2019-11-20,39.0281
2019-11-21,39.025
2019-11-22,38.7742
2019-11-23,38.7671
2019-11-24,38.8271
2019-11-25,38.9836
2019-11-26,38.8694
2019-11-27,39.1031
2019-11-28,39.0268
2019-11-29,39.0636
2019-11-30,39.0636
2019-12-01,39.0161
2019-12-02,39.1782
2019-12-03,39.3466
2019-12-04,39.7221
2019-12-05,39.9793
2019-12-06,39.8757
2019-12-07,39.8757
2019-12-08,39.8876
2019-12-09,39.8391
2019-12-10,39.7994
2019-12-11,39.8973
2019-12-12,40.6247
2019-12-13,40.282
2019-12-14,40.282
2019-12-15,40.3297
2019-12-16,40.0702
2019-12-17,39.7054
